id_produto,nome_produto,categoria,marca,preco_atual
prd_face62224c50,Tênis Adidas Stan Smith,Tênis,Puma,38.99
prd_4219bde6f03a,Tênis Nike Air Max,Tênis,Adidas,68.99
prd_fcd221b5cb48,Tênis Puma Future,Tênis,Nike,123.99
prd_39484d5e0b36,Tênis Nike Revolution,Tênis,Adidas,69.9
prd_da5c2c38df2e,Tênis Nike Court,Tênis,Puma,31.9
prd_f325ffd3f299,Tênis Adidas Samba,Tênis,Nike,43.9
prd_4327485950d4,Tênis Nike Revolution,Tênis,Adidas,105.9
prd_d5b7bdafd562,Tênis Adidas Stan Smith,Tênis,Nike,197.9
prd_c4c05e57d1ff,Tênis Nike Dunk,Tênis,Nike,95.9
prd_1757e5a44e02,Tênis Nike Blazer,Tênis,Nike,37.9
prd_f4d216bbeb27,Tênis Puma Future,Tênis,Adidas,67.9
prd_1317c4a1f775,Tênis Puma Speedcat,Tênis,Puma,451.9
prd_c632a36ece80,Tênis Nike Air Max,Tênis,Adidas,64.9
prd_d17f09896254,Tênis Nike Revolution,Tênis,Puma,174.9
prd_225ae25e0a4f,Tênis Puma Suede,Tênis,Adidas,404.5
prd_f77140ad51ec,Edredom Casal,Casa,Sony,95.9
prd_52514818b0b6,Raquete de Tênis,Esporte,Asus,69.9
prd_533e5e22d86e,Rádio AM/FM,Áudio,Acer,337.99
prd_bc0258300d50,Assadeira de Vidro,Cozinha,Sony,35.99
prd_c11c85a4804c,Quadro Decorativo,Casa,Mondial,93.99
prd_3cf08e85ad27,Suporte para Controle,Games,Philips,31.9
prd_854644557483,Boné Esportivo,Esporte,Apple,64.9
prd_6747a9118767,Mouse Gamer Logitech,Eletrônicos,Motorola,55.5
prd_f35f1b6d73bf,Fone Gamer Wireless,Games,Brastemp,93.99
prd_0c6ab223bfd4,Post-it,Acessórios,Acer,88.9
prd_fd706b862db2,Cinto de Couro,Acessórios,Philips,584.99
prd_2cc016f9687b,Vestido Casual,Moda,Arno,199.9
prd_9120195f0253,Mouse Pad Gamer,Informática,Philips,126.99
prd_00f202452062,Espelho de Parede,Casa,Sony,170.9
prd_5da705f2fce5,Mouse Gamer RGB,Games,Philips,49.0
